non_ideal_rank,functional,molecules,component,component_label,n_points,exponent_m,exponent_std_error,prefactor_A,log10_r_squared,deviation_from_ideal_inverse,time_factor_per_core_doubling,behavior
14,revPBE0,196,polarization_time_s,Polarization (total),4,-0.5058047809804672,0.039433140596190984,2986.8867175672403,0.987990098046805,0.4941952190195328,0.7042674053138874,slower than ideal inverse
15,revPBE,128,polarization_time_s,Polarization (total),5,-0.512132420351252,0.07336400776096896,1339.1103032473995,0.9420068281254899,0.48786757964874805,0.7011852628207753,slower than ideal inverse
16,revPBE0,196,dipole_matrix_time_s,Dipole matrix,4,-0.5183578723610078,0.022552838302971993,237.82598651901097,0.9962283454772435,0.48164212763899217,0.698166058923371,slower than ideal inverse
17,revPBE,196,scf_time_s,SCF (total),5,-0.5735570033409491,0.0876901314167209,1638.483284839872,0.9344707447574142,0.42644299665905094,0.6719580138799672,slower than ideal inverse
18,revPBE0,128,scf_time_s,SCF (total),4,-0.5768943419911032,0.05733319505438116,5444.516852904006,0.9806288942665546,0.42310565800889677,0.6704053921709956,slower than ideal inverse
19,revPBE,128,dipole_matrix_time_s,Dipole matrix,5,-0.6004647047742991,0.06014231450566666,306.52835583124437,0.97078345049692,0.39953529522570086,0.6595414770512869,slower than ideal inverse
20,revPBE,128,berry_term_time_s,Berry term,5,-0.6016676138014214,0.12804765495560225,91.92241849979801,0.8803757290571188,0.3983323861985786,0.6589917851805661,slower than ideal inverse
21,revPBE,196,fourier_ev_time_s,Fourier interpolation,5,-0.6028009705669922,0.073680129276387,4126.037297746752,0.9571024437485673,0.3971990294330078,0.6584742956983595,slower than ideal inverse
22,HSE06,128,polarization_time_s,Polarization (total),4,-0.6096955982260734,0.09267249776699306,2377.305961447412,0.9558339980325358,0.39030440177392656,0.6553349598942607,slower than ideal inverse
23,HSE06,196,fourier_ev_time_s,Fourier interpolation,4,-0.6580188327801626,0.07858533734586835,5913.958304648963,0.9722654424423793,0.3419811672198374,0.6337479880876598,slower than ideal inverse
24,revPBE,196,dipole_matrix_time_s,Dipole matrix,5,-0.6595526556479716,0.08885203259811522,625.7216898835264,0.9483663103183175,0.3404473443520284,0.6330745674523046,slower than ideal inverse
25,revPBE,128,dipole_term_time_s,Dipole term,5,-0.6605044573250657,0.13158123939287208,115.43986992235759,0.8936089260076661,0.3394955426749343,0.6326570414366707,slower than ideal inverse
26,HSE06,196,scf_time_s,SCF (total),4,-0.6668901270999809,0.05211588888972029,8563.48987112973,0.987933277286563,0.33310987290001914,0.6298629573074633,slower than ideal inverse
27,revPBE,196,polarization_time_s,Polarization (total),5,-0.6687960105102005,0.08345500206152985,8250.97922670124,0.9553716332228682,0.33120398948979946,0.6290314213644571,slower than ideal inverse
28,revPBE,128,extra_time_s,Extra,5,-0.6761385151666282,0.9508627473858797,17.83590674429708,0.14423451445776503,0.32386148483337185,0.6258381388482179,slower than ideal inverse
29,revPBE0,196,berry_term_time_s,Berry term,4,-0.6897794301395274,0.10635583648832977,432.097409152625,0.9546102025903154,0.31022056986047264,0.61994862504345,slower than ideal inverse
30,revPBE0,196,scf_time_s,SCF (total),4,-0.6925440941469707,0.04846565722693915,17612.014340624686,0.9903000355397698,0.3074559058530293,0.6187617432611517,slower than ideal inverse
31,HSE06,128,dipole_matrix_time_s,Dipole matrix,4,-0.6976671194978901,0.11317457684015733,513.8436732380907,0.9500016575958768,0.30233288050210994,0.6165684103445764,slower than ideal inverse
32,HSE06,128,scf_time_s,SCF (total),4,-0.7234010229766316,0.067973852235396,8173.285244455984,0.9826478445148052,0.27659897702336844,0.6056679505382073,slower than ideal inverse
33,HSE06,128,berry_term_time_s,Berry term,4,-0.7413138632649972,0.1782703418427647,200.431059952352,0.8963302609774231,0.25868613673500285,0.5981943282259844,slower than ideal inverse
34,revPBE0,196,dipole_term_time_s,Dipole term,4,-0.7443255413079516,0.11318153370337716,556.2901232589415,0.955799994356876,0.2556744586920484,0.5969468784458045,slower than ideal inverse
35,HSE06,196,dipole_matrix_time_s,Dipole matrix,4,-0.7657390197532282,0.09567478425083578,1141.5577317615016,0.969723116393762,0.23426098024677178,0.5881520108818181,slower than ideal inverse
36,revPBE,196,extra_time_s,Extra,5,-0.8007759018525011,0.13608725205452474,316.4608561730004,0.9202653277686683,0.19922409814749886,0.574040367414418,slower than ideal inverse
37,HSE06,196,polarization_time_s,Polarization (total),4,-0.8081479044736082,0.0612536782784831,19328.558138449425,0.9886407114906413,0.19185209552639182,0.5711145700033939,slower than ideal inverse
38,HSE06,128,dipole_term_time_s,Dipole term,4,-0.8084607129125942,0.1887650405670485,261.95021597356384,0.9016869701496694,0.19153928708740575,0.5709907530595008,slower than ideal inverse
39,HSE06,196,dipole_term_time_s,Dipole term,4,-1.1326615762336605,0.14210469764715403,6534.3343717192465,0.9694799417899466,0.13266157623366048,0.45607355479771705,near ideal inverse
40,revPBE,196,berry_term_time_s,Berry term,5,-0.9081942995588902,0.13045512302694495,1981.0151315055905,0.9417088478176094,0.0918057004411098,0.5328515997115167,near ideal inverse
41,HSE06,196,berry_term_time_s,Berry term,4,-1.0767027920987913,0.1448754723478534,5048.783642100877,0.9650553830266715,0.07670279209879127,0.47411114358111345,near ideal inverse
42,revPBE,196,dipole_term_time_s,Dipole term,5,-0.9647964047438695,0.12934435283588633,2571.9635098548924,0.9488391845705104,0.03520359525613048,0.5123507101041814,near ideal inverse
